code1c,mdmcodenomen,nomen
Ц0000027531,043-00001-0546,"Двутавр 40Ш2 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
Ц0000027598,043-00002-0546,"Двутавр 40Ш1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АЦ000000799,043-00003-0546,"Двутавр 50Ш4 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АЦ000000952,043-00004-0555,"Двутавр 45М ГОСТ 19425 09Г2С-12 дл.12,0 Импорт"
АЦ000000969,043-00005-0546,"Двутавр 40К4 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АЦ000000978,043-00006-0546,"Двутавр 70Ш4 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АЦ000001549,043-00007-0550,"Двутавр 20Б1 СТО АСЧМ 20-93 09Г2С-15 дл.12,0"
АЦ000001851,043-00008-0546,"Двутавр 40К3 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
АЦ000003091,043-00009-0779,"Двутавр 35Б1 СТО АСЧМ 20-93 С345-4 дл.12,0"
ОА000000093,043-00010-0546,"Двутавр 16Б1 ГОСТ 26020 09Г2С-12 дл.12,0"
ОА-ОА000073,043-00011-0550,"Двутавр 25К2 СТО АСЧМ 20-93 09Г2С-15 дл.12,0"
ОА-ОА000312,043-00012-0555,"Двутавр 24М ГОСТ 19425 09Г2С-12 дл.12,0 Импорт"
АЦ-АЦ000414,043-00013-0556,"Двутавр 35Б2 СТО АСЧМ 20-93 09Г2С-13 дл.12,0"
АЦ-АЦ000415,043-00014-0556,"Двутавр 25Ш1 СТО АСЧМ 20-93 09Г2С-13 дл.12,0"
АЦ-АЦ000629,043-00007-0556,"Двутавр 20Б1 СТО АСЧМ 20-93 09Г2С-13 дл.12,0"
ОА-ОА000427,043-00015-0555,"Двутавр 36М ГОСТ 19425 09Г2С-12 дл.12,0 Импорт"
ОА-ОА000434,043-00016-0780,"Двутавр 16 ГОСТ 8239 09Г2С-15 дл.12,0 Импорт"
ОА-ОА000767,043-00007-0555,"Двутавр 20Б1 СТО АСЧМ 20-93 09Г2С-12 дл.12,0 Импорт"
ОА-ОА006651,043-00017-0781,"Двутавр 35Ш1 СТО АСЧМ 20-93 С345-6 дл.12,0 ()"
АЦ-АЦ001383,043-00018-0782,"Двутавр 35Ш2 СТО АСЧМ 20-93 С345-4 дл.12,0 ()"
АЦ-АЦ001763,043-00019-0546,"Двутавр 60Ш4 СТО АСЧМ 20-93 09Г2С-12 дл.12,0"
