code1c,nomen,mdmcodenomen
"0000085700","Двутавр 40Ш2 (ГОСТ/СТО)","043-00001-0546"
"0000085701","Двутавр 40Ш1 (ГОСТ/СТО)","043-00002-0546"
"0000085702","Двутавр 50Ш4 (ГОСТ/СТО)","043-00003-0546"
"0000085703","Двутавр 45М (ГОСТ/СТО)","043-00004-0555"
"0000085704","Двутавр 40К4 (ГОСТ/СТО)","043-00005-0546"
"0000085705","Двутавр 70Ш4 (ГОСТ/СТО)","043-00006-0546"
"0000085706","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0550"
"0000085707","Двутавр 40К3 (ГОСТ/СТО)","043-00008-0546"
"0000085708","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0779"
"0000085709","Двутавр 16Б1 (ГОСТ/СТО)","043-00010-0546"
"0000085710","Двутавр 25К2 (ГОСТ/СТО)","043-00011-0550"
"0000085711","Двутавр 24М (ГОСТ/СТО)","043-00012-0555"
"0000085712","Двутавр 35Б2 (ГОСТ/СТО)","043-00013-0556"
"0000085713","Двутавр 25Ш1 (ГОСТ/СТО)","043-00014-0556"
"0000085714","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0556"
"0000085715","Двутавр 36М (ГОСТ/СТО)","043-00015-0555"
"0000085716","Двутавр 16 (ГОСТ/СТО)","043-00016-0780"
"0000085717","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0555"
"0000085718","Двутавр 35Ш1 (ГОСТ/СТО)","043-00017-0781"
"0000085719","Двутавр 35Ш2 (ГОСТ/СТО)","043-00018-0782"
"0000085720","Двутавр 60Ш4 (ГОСТ/СТО)","043-00019-0546"
"0000085721","Двутавр 16Б1 (ГОСТ/СТО)","043-00010-0550"
"0000085722","Двутавр 60Ш1 (ГОСТ/СТО)","043-00020-0575"
"0000085723","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0575"
"0000085724","Двутавр 20К1 (ГОСТ/СТО)","043-00021-0575"
"0000085725","Двутавр 25Б1 (ГОСТ/СТО)","043-00022-0575"
"0000085726","Двутавр 50Ш1 (ГОСТ/СТО)","043-00023-0575"
"0000085727","Двутавр 35К2 (ГОСТ/СТО)","043-00024-0575"
"0000085728","Двутавр 25Б2 (ГОСТ/СТО)","043-00025-0575"
"0000085729","Двутавр 45Ш1 (ГОСТ/СТО)","043-00026-0575"
"0000085730","Двутавр 24М (ГОСТ/СТО)","043-00012-0575"
"0000085731","Двутавр 40К1 (ГОСТ/СТО)","043-00027-0575"
"0000085732","Двутавр 40К2 (ГОСТ/СТО)","043-00028-0783"
"0000085733","Двутавр 25Ш1 (ГОСТ/СТО)","043-00014-0575"
"0000085734","Двутавр 30Ш1 (ГОСТ/СТО)","043-00029-0575"
"0000085735","Двутавр 30Ш2 (ГОСТ/СТО)","043-00030-0575"
"0000085736","Двутавр 35Ш2 (ГОСТ/СТО)","043-00018-0575"
"0000085737","Двутавр 40Б1 (ГОСТ/СТО)","043-00031-0575"
"0000085738","Двутавр 40Б2 (ГОСТ/СТО)","043-00032-0575"
"0000085739","Двутавр 40Ш1 (ГОСТ/СТО)","043-00002-0575"
"0000085740","Двутавр 40Ш2 (ГОСТ/СТО)","043-00001-0575"
"0000085741","Двутавр 60Ш4 (ГОСТ/СТО)","043-00019-0575"
"0000085742","Двутавр 45Ш1 (ГОСТ/СТО)","043-00026-0783"
"0000085743","Двутавр 35Ш2 (ГОСТ/СТО)","043-00018-0783"
"0000085744","Двутавр 35Ш1 (ГОСТ/СТО)","043-00017-0783"
"0000085745","Двутавр 20Ш1 (ГОСТ/СТО)","043-00033-0575"
"0000085746","Двутавр 30К1 (ГОСТ/СТО)","043-00034-0575"
"0000085747","Двутавр 35К1 (ГОСТ/СТО)","043-00035-0575"
"0000085748","Двутавр 35Ш1 (ГОСТ/СТО)","043-00017-0575"
"0000085749","Двутавр 50Б1 (ГОСТ/СТО)","043-00036-0575"
"0000085750","Двутавр 45Б2 (ГОСТ/СТО)","043-00037-0575"
"0000085751","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0575"
"0000085752","Двутавр 16Б1 (ГОСТ/СТО)","043-00010-0630"
"0000085753","Двутавр 50Ш3 (ГОСТ/СТО)","043-00038-0783"
"0000085754","Двутавр 60Ш3 (ГОСТ/СТО)","043-00039-0783"
"0000085755","Двутавр 30К2 (ГОСТ/СТО)","043-00040-0575"
"0000085756","Двутавр 30М (ГОСТ/СТО)","043-00041-0575"
"0000085757","Двутавр 20К2 (ГОСТ/СТО)","043-00042-0575"
"0000085758","Двутавр 45Б1 (ГОСТ/СТО)","043-00043-0575"
"0000085759","Двутавр 35Б2 (ГОСТ/СТО)","043-00013-0575"
"0000085760","Двутавр 50Ш2 (ГОСТ/СТО)","043-00044-0575"
"0000085761","Двутавр 30Б2 (ГОСТ/СТО)","043-00045-0575"
"0000085762","Двутавр 20К1 (ГОСТ/СТО)","043-00021-0784"
"0000085763","Двутавр 40К5 (ГОСТ/СТО)","043-00046-0784"
"0000085764","Двутавр 60Ш3 (ГОСТ/СТО)","043-00039-0575"
"0000085765","Двутавр 40К5 (ГОСТ/СТО)","043-00046-0783"
"0000085766","Двутавр 25К1 (ГОСТ/СТО)","043-00047-0575"
"0000085767","Двутавр 60Б2 (ГОСТ/СТО)","043-00048-0575"
"0000085768","Двутавр 70Ш5 (ГОСТ/СТО)","043-00049-0575"
"0000085769","Двутавр 14Б1 (ГОСТ/СТО)","043-00050-0546"
"0000085770","Двутавр 36М (ГОСТ/СТО)","043-00015-0575"
"0000085771","Двутавр 60Ш4 (ГОСТ/СТО)","043-00019-0783"
"0000085772","Двутавр 60Б1 (ГОСТ/СТО)","043-00051-0575"
"0000085773","Двутавр 50Ш4 (ГОСТ/СТО)","043-00003-0783"
"0000085774","Двутавр 70Ш5 (ГОСТ/СТО)","043-00049-0783"
"0000085775","Двутавр 40К2 (ГОСТ/СТО)","043-00028-0575"
"0000085776","Двутавр 40Ш1 (ГОСТ/СТО)","043-00002-0783"
"0000085777","Двутавр 70Ш1 (ГОСТ/СТО)","043-00052-0575"
"0000085778","Двутавр 70Ш2 (ГОСТ/СТО)","043-00053-0783"
"0000085779","Двутавр 60Ш2 (ГОСТ/СТО)","043-00054-0575"
"0000085780","Двутавр 55Б2 (ГОСТ/СТО)","043-00055-0575"
"0000085781","Двутавр 70Б1 (ГОСТ/СТО)","043-00056-0575"
"0000085782","Двутавр 70Б2 (ГОСТ/СТО)","043-00057-0575"
"0000085783","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0575"
"0000085784","Двутавр 25К2 (ГОСТ/СТО)","043-00011-0575"
"0000085785","Двутавр 50Ш4 (ГОСТ/СТО)","043-00003-0575"
"0000085786","Двутавр 50Б2 (ГОСТ/СТО)","043-00059-0575"
"0000085787","Двутавр 50Б3 (ГОСТ/СТО)","043-00060-0575"
"0000085788","Двутавр 45Ш2 (ГОСТ/СТО)","043-00061-0575"
"0000085789","Двутавр 40К1 (ГОСТ/СТО)","043-00027-0783"
"0000085790","Двутавр 12Б1 (ГОСТ/СТО)","043-00062-0546"
"0000085791","Двутавр 14Б1 (ГОСТ/СТО)","043-00050-0550"
"0000085792","Двутавр 40К4 (ГОСТ/СТО)","043-00005-0784"
"0000085793","Двутавр 55Б1 (ГОСТ/СТО)","043-00063-0575"
"0000085794","Двутавр 45М (ГОСТ/СТО)","043-00004-0575"
"0000085795","Двутавр 25Ш1 (ГОСТ/СТО)","043-00014-0783"
"0000085796","Двутавр 50Ш2 (ГОСТ/СТО)","043-00044-0783"
"0000085797","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0783"
"0000085798","Двутавр 20Ш1 (ГОСТ/СТО)","043-00033-0555"
"0000085799","Двутавр 30Ш1 (ГОСТ/СТО)","043-00029-0783"
"0000085800","Двутавр 35К1 (ГОСТ/СТО)","043-00035-0783"
"0000085801","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0784"
"0000085802","Двутавр 30Ш1 (ГОСТ/СТО)","043-00029-0784"
"0000085803","Двутавр 30Б2 (ГОСТ/СТО)","043-00045-0784"
"0000085804","Двутавр 45Ш1 (ГОСТ/СТО)","043-00026-0784"
"0000085805","Двутавр 30К1 (ГОСТ/СТО)","043-00034-0784"
"0000085806","Двутавр 35Ш2 (ГОСТ/СТО)","043-00018-0784"
"0000085807","Двутавр 45Б2 (ГОСТ/СТО)","043-00037-0784"
"0000085808","Двутавр 20К2 (ГОСТ/СТО)","043-00042-0784"
"0000085809","Двутавр 25К1 (ГОСТ/СТО)","043-00047-0784"
"0000085810","Двутавр 25К2 (ГОСТ/СТО)","043-00011-0784"
"0000085811","Двутавр 35Ш1 (ГОСТ/СТО)","043-00017-0784"
"0000085812","Двутавр 35Ш2 (ГОСТ/СТО)","043-00018-0784"
"0000085813","Двутавр 20К1 (ГОСТ/СТО)","043-00021-0784"
"0000085814","Двутавр 30К1 (ГОСТ/СТО)","043-00034-0784"
"0000085815","Двутавр 35Б2 (ГОСТ/СТО)","043-00013-0784"
"0000085816","Двутавр 35К1 (ГОСТ/СТО)","043-00035-0784"
"0000085817","Двутавр 50Б2 (ГОСТ/СТО)","043-00059-0784"
"0000085818","Двутавр 50Ш2 (ГОСТ/СТО)","043-00044-0784"
"0000085819","Двутавр 55Б1 (ГОСТ/СТО)","043-00063-0784"
"0000085820","Двутавр 60Ш1 (ГОСТ/СТО)","043-00020-0784"
"0000085821","Двутавр 25Ш1 (ГОСТ/СТО)","043-00014-0784"
"0000085822","Двутавр 60Ш3 (ГОСТ/СТО)","043-00039-0784"
"0000085823","Двутавр 30К2 (ГОСТ/СТО)","043-00040-0785"
"0000085824","Двутавр 50Ш1 (ГОСТ/СТО)","043-00023-0784"
"0000085825","Двутавр 60Ш2 (ГОСТ/СТО)","043-00054-0784"
"0000085826","Двутавр 70Ш2 (ГОСТ/СТО)","043-00053-0784"
"0000085827","Двутавр 60Б2 (ГОСТ/СТО)","043-00048-0784"
"0000085828","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0784"
"0000085829","Двутавр 60Б1 (ГОСТ/СТО)","043-00051-0784"
"0000085830","Двутавр 40Б1 (ГОСТ/СТО)","043-00031-0783"
"0000085831","Двутавр 40Б1 (ГОСТ/СТО)","043-00031-0575"
"0000085832","Двутавр 14Б2 (ГОСТ/СТО)","043-00064-0554"
"0000085833","Двутавр 14Б2 (ГОСТ/СТО)","043-00064-0786"
"0000085834","Двутавр 30К1 (ГОСТ/СТО)","043-00034-0781"
"0000085835","Двутавр 60Ш4 (ГОСТ/СТО)","043-00019-0784"
"0000085836","Двутавр 30К2 (ГОСТ/СТО)","043-00040-0787"
"0000085837","Двутавр 50Б2 (ГОСТ/СТО)","043-00059-0787"
"0000085838","Двутавр 55Б2 (ГОСТ/СТО)","043-00055-0784"
"0000085839","Двутавр 25Б1 (ГОСТ/СТО)","043-00022-0784"
"0000085840","Двутавр 25Б2 (ГОСТ/СТО)","043-00025-0784"
"0000085841","Двутавр 36М (ГОСТ/СТО)","043-00015-0780"
"0000085842","Двутавр 18Б1 (ГОСТ/СТО)","043-00065-0575"
"0000085843","Двутавр 30Ш2 (ГОСТ/СТО)","043-00030-0786"
"0000085844","Двутавр 45М (ГОСТ/СТО)","043-00004-0780"
"0000085845","Двутавр 30Ш2 (ГОСТ/СТО)","043-00030-0783"
"0000085846","Двутавр 20Б1 (ГОСТ/СТО)","043-00007-0575"
"0000085847","Двутавр 30К4 (ГОСТ/СТО)","043-00066-0784"
"0000085848","Двутавр 50Б3 (ГОСТ/СТО)","043-00060-0784"
"0000085849","Двутавр 36М (ГОСТ/СТО)","043-00015-0788"
"0000085850","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0546"
"0000085851","Двутавр 35К1 (ГОСТ/СТО)","043-00035-0546"
"0000085852","Двутавр 35Б1 (ГОСТ/СТО)","043-00009-0553"
"0000085853","Двутавр 24М (ГОСТ/СТО)","043-00012-0546"
"0000085854","Двутавр 55Б2 (ГОСТ/СТО)","043-00055-0546"
"0000085855","Двутавр 60Ш1 (ГОСТ/СТО)","043-00020-0546"
"0000085856","Двутавр 25К2 (ГОСТ/СТО)","043-00011-0546"
"0000085857","Двутавр 45Ш1 (ГОСТ/СТО)","043-00026-0546"
"0000085858","Двутавр 30Б1 (ГОСТ/СТО)","043-00058-0550"
